taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3033625	Pulsatilla occidentalis (S.Watson) Freyn	3033625	Pulsatilla occidentalis (S.Watson) Freyn	6523	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Pulsatilla	3033620	Pulsatilla occidentalis	3033625	
7306778	Minthostachys mollis (Benth.) Griseb.	7306778	Minthostachys mollis (Benth.) Griseb.	174	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Minthostachys	7306763	Minthostachys mollis	7306778	
5785797	Raorchestes parvulus (Boulenger, 1893)	5785797	Raorchestes parvulus (Boulenger, 1893)	70	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Rhacophoridae	3096	Raorchestes	8999549	Raorchestes parvulus	5785797	LC
7222674	Pilosella aurantiaca subsp. aurantiaca	7222674	Pilosella aurantiaca subsp. aurantiaca	8	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pilosella	8179194	Pilosella aurantiaca	3122924	
2451234	Sceloporus occidentalis Baird & Girard, 1852	2451234	Sceloporus occidentalis Baird & Girard, 1852	109398	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Phrynosomatidae	5016	Sceloporus	2451143	Sceloporus occidentalis	2451234	LC
2407167	Balistapus undulatus (Park, 1797)	2407167	Balistapus undulatus (Park, 1797)	2679	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Balistidae	5899	Balistapus	2407166	Balistapus undulatus	2407167	LC
3172354	Fraxinus pennsylvanica var. subintegerrima (Vahl) Fernald	3172348	Fraxinus pennsylvanica Marshall	183	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Oleaceae	6652	Fraxinus	3172323	Fraxinus pennsylvanica	3172348	
7972115	Thunbergia mysorensis (Wight) T.Anderson ex Bedd.	7972115	Thunbergia mysorensis (Wight) T.Anderson ex Bedd.	616	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Acanthaceae	2393	Thunbergia	3173206	Thunbergia mysorensis	7972115	
2408093	Lactophrys triqueter (Linnaeus, 1758)	2408093	Lactophrys triqueter (Linnaeus, 1758)	2149	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Ostraciidae	2220	Lactophrys	2408092	Lactophrys triqueter	2408093	LC
2925816	Cynoglossum amabile Stapf & J.R.Drumm.	2925816	Cynoglossum amabile Stapf & J.R.Drumm.	801	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Boraginaceae	2498	Cynoglossum	2925812	Cynoglossum amabile	2925816	
10920291	Bombus terrestris africanus Krüger, 1956	10920291	Bombus terrestris africanus Krüger, 1956	81	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus terrestris	1340503	
7746216	Caltha palustris var. palustris	7746216	Caltha palustris var. palustris	114	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Caltha	3033282	Caltha palustris	5371685	
3798775	Datura lanosa Barclay ex Bye	2928741	Datura wrightii Regel	6	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Datura	2928734	Datura wrightii	2928741	
7190373	Calotes emma emma Gray, 1845	7190373	Calotes emma emma Gray, 1845	28	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Agamidae	9199	Calotes	2466496	Calotes emma	2465884	
2149490	Nephila pilipes (Fabricius, 1793)	2149490	Nephila pilipes (Fabricius, 1793)	23612	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Nephila	7652364	Nephila pilipes	2149490	LC
4270238	Allium cernuum var. cernuum	2856745	Allium cernuum Roth	8	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Amaryllidaceae	7682	Allium	9624496	Allium cernuum	2856745	
5385499	Antennaria rosea Greene	5385499	Antennaria rosea Greene	3612	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Antennaria	3087998	Antennaria rosea	5385499	
3190544	Rhus glabra L.	3190544	Rhus glabra L.	21333	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Rhus	3190534	Rhus glabra	3190544	LC
5536040	Kopsia arborea Blume	5536040	Kopsia arborea Blume	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Kopsia	3230914	Kopsia arborea	5536040	LC
5136372	Haetera piera (Linnaeus, 1758)	5136372	Haetera piera (Linnaeus, 1758)	457	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Haetera	1916665	Haetera piera	5136372	
10706498	Anarthrophyllum desideratum (DC.) Benth. ex B.D.Jacks.	10706498	Anarthrophyllum desideratum (DC.) Benth. ex B.D.Jacks.	248	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Anarthrophyllum	2952022	Anarthrophyllum desideratum	10706498	
2738914	Caryota urens L.	2738914	Caryota urens L.	368	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Caryota	2738880	Caryota urens	2738914	LC
9191606	Callospermophilus lateralis certus (Goldman, 1921)	9191606	Callospermophilus lateralis certus (Goldman, 1921)	148	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Callospermophilus	4827935	Callospermophilus lateralis	7593288	
9328594	Trifolium campestre subsp. campestre	9328594	Trifolium campestre subsp. campestre	38	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Trifolium	2973363	Trifolium campestre	5359477	
6175163	Agelaius phoeniceus arctolegus Oberholser, 1907	6175163	Agelaius phoeniceus arctolegus Oberholser, 1907	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Agelaius	2484444	Agelaius phoeniceus	9409198	
7414794	Barnadesia arborea Kunth	7414794	Barnadesia arborea Kunth	512	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Barnadesia	3105285	Barnadesia arborea	7414794	
4374572	Mytilus chilensis Hupé, 1854	4374572	Mytilus chilensis Hupé, 1854	224	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Mytilida	9330464	Mytilidae	3476	Mytilus	2285679	Mytilus chilensis	4374572	
8380066	Caltha palustris var. radicans (T.F.Forst.) Beck	8380066	Caltha palustris var. radicans (T.F.Forst.) Beck	30	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Caltha	3033282	Caltha palustris	5371685	
6369405	Rosa acicularis subsp. sayi (Schwein.) W.H.Lewis	6369405	Rosa acicularis subsp. sayi (Schwein.) W.H.Lewis	46	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rosa	8395064	Rosa acicularis	3002193	
11455506	Parides sesostris tarquinius	11455506	Parides sesostris tarquinius	28	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Papilionidae	9417	Parides	1937063	Parides sesostris	1937110	
2925331	Lantana urticifolia Mill.	7686106	Lantana camara subsp. camara	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Verbenaceae	6689	Lantana	2925302	Lantana camara	2925303	
2427091	Lithobates catesbeianus (Shaw, 1802)	2427091	Lithobates catesbeianus (Shaw, 1802)	83227	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Ranidae	6746	Lithobates	2427046	Lithobates catesbeianus	2427091	
5331238	Viola sororia Willd.	5331238	Viola sororia Willd.	24464	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Violaceae	6631	Viola	2874237	Viola sororia	5331238	
3107787	Senecio amplectens A.Gray	3107787	Senecio amplectens A.Gray	156	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Senecio	3106738	Senecio amplectens	3107787	
7315525	Hymenophyllum plicatum Kaulf.	7315525	Hymenophyllum plicatum Kaulf.	98	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Hymenophyllales	7228685	Hymenophyllaceae	2372	Hymenophyllum	2651287	Hymenophyllum plicatum	7315525	
5883199	Acytolepis puspa lambi (Distant, 1882)	5883199	Acytolepis puspa lambi (Distant, 1882)	172	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Acytolepis	1924272	Acytolepis puspa	1924298	
5879100	Lamprigera yunnana (Fairmaire, 1897)	5879100	Lamprigera yunnana (Fairmaire, 1897)	43	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lampyridae	4737	Lamprigera	4744130	Lamprigera yunnana	5879100	
1904887	Cyrestis themire Honrath, 1884	1904887	Cyrestis themire Honrath, 1884	307	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Cyrestis	1904851	Cyrestis themire	1904887	LC
5683556	Cassiope mertensiana subsp. californica Piper	8368344	Cassiope mertensiana (Bong.) D.Don	2	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Cassiope	2882766	Cassiope mertensiana	8368344	
9362027	Mareca strepera (Linnaeus, 1758)	9362027	Mareca strepera (Linnaeus, 1758)	78531	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Mareca	2498314	Mareca strepera	9362027	LC
5218384	Eurycea wilderae Dunn, 1920	5218384	Eurycea wilderae Dunn, 1920	2156	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Eurycea	5218343	Eurycea wilderae	5218384	LC
9608238	Pidonia scripta (LeConte, 1869)	9608238	Pidonia scripta (LeConte, 1869)	483	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Pidonia	1131586	Pidonia scripta	9608238	
2669001	Sphagnum magellanicum Brid.	2669001	Sphagnum magellanicum Brid.	116	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum magellanicum	2669001	
5384113	Opuntia fragilis (Nutt.) Haw.	5384113	Opuntia fragilis (Nutt.) Haw.	8102	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Opuntia	3084187	Opuntia fragilis	5384113	LC
3172574	Spathodea campanulata Beauverd	3172574	Spathodea campanulata Beauverd	7195	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Spathodea	3172573	Spathodea campanulata	3172574	LC
2932737	Solanum dulcamara L.	2932737	Solanum dulcamara L.	80741	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum dulcamara	2932737	
5128011	Anartia amathea (Linnaeus, 1758)	5128011	Anartia amathea (Linnaeus, 1758)	8647	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Anartia	1893282	Anartia amathea	5128011	
